Pate a gateau brisee,375,21.2,6.7,0.8,32.5,38,130
Pate a pizza ,229,3.6,7,0.7,46.8,38,130
Pate feuillettee,364,24.7,5.2,0.8,39.8,38,130
Pate wasabi,308,10.6,2.9,5.8,0,38,130
Pate,174,4.7,6.9,0.7,60.3,38,130
Peche,43,0.1,0.8,0,87.3,54,9
Pelerine,413,8.3,12.2,0.8,5,38,130
Perche,79,0.7,18,0.2,80.4,38,130
Persil,58,0.5,3.9,0.1,82.1,38,130
Pesto ,430,42.5,3.9,2.7,39,38,130
Petit pois,90,0.7,6,0,74.5,28,5.9
Petit-beurre,431,12.4,8.7,0.5,7.2,130,130
Pistache,594,45.4,23.8,0,3.9,560,1100
Poire,54,0.3,0.5,0,83.5,70,10
Poireau,30,0.3,1.6,0,90.5,35,145
Pois chiche,327,4.9,18.6,0,13,130,41
Poisson,146,6.9,20.9,0.2,72.1,202,600
Poivron rouge,32,0.4,0.9,0,91.3,93,130
Poivron vert,20,0.3,0.8,0,92.9,93,130
Pomme de terre,76,0.1,2,0,78.7,290,28
Pomme,52,0.3,0.3,0,85.4,43,8
Popcorn ,367,4.2,12,0,4.1,75,145
Porc,175,8.25,25.17,0.16,65.5,1210,788
Poulet ,168,10.3,18.8,0.2,69.8,690,693
Prune,48,0.2,0.6,0,83.7,130,28
Puree de pommes de terre,90,2.8,2.2,0.1,80.1,290,124
Quinoa,368,5,14.8,0,12.6,64,45
Radis blanc,18,0.3,0.6,0,94.8,59,130
Radis rouge,17,0.1,1.1,0.1,94.1,59,130
Raisin blanc,69,0.3,0.7,0,81.1,153,60
Raisin sec,321,0.9,3,0.1,16,153,60
Reblochon,307,25.2,19.9,2,51.7,1350,51.8
Riz ,352,0.9,7.4,0,12.3,4067,24
Romarin,62,2.5,0.8,0,85,130,233
Roquefort,363,31.7,19.2,4,42.6,130,233
Roquette,28,0.7,2.6,0.1,91.7,130,233
Sable,474,26.2,5.9,0.1,13.8,130,233
Saindoux,891,99,0,0,0.2,130,233
Salade ,18,0.3,1.6,0,94.9,53,23
Salametto,343,31.4,14.8,2.8,53.5,130,233
Salami,367,30.1,24.1,3.9,40.2,130,233
Salsifis ,55,0.4,1.4,0,76.8,130,233
Salsiz,415,34.9,25.2,3.9,34.4,130,233
Sanglier,108,3.4,19.5,0.2,75.9,130,233
Sardine,163,9,20.4,0.3,69,130,233
Sarrasin,346,1.7,9.8,0,12.8,130,233
Sauce bolognaise,96,4,6.3,0.6,80.9,130,233
Sauce soja,56,0.6,8.1,14,71.2,130,233
Sauce tartare,384,40,3.7,0.3,53.8,130,233
Sauce tomate,69,2.1,1.8,1.4,82.5,40,21
Saucisse,445,39.4,22.2,3.7,38.1,130,233
Saucisses,445,39.4,22.2,3.7,38.1,130,233
Saucisson,403,36.4,18.2,2.5,44.9,130,233
Sauge,59,2.1,1.7,0,85,130,233
Saumon ,200,13.4,19.9,0.1,67,1190,233
Sbrinz,415,33.2,28,1.8,31.9,130,233
Sel,0,0,0,99,0.3,130,233
Semoule  ,353,1.4,12,0,12.1,130,233
Serac,122,7.2,10.9,0.1,77,130,233
Sirop ,55,0,0,0,86.3,130,233
Sole,85,1.1,18.7,0.3,78.5,130,233
Sucre,400,0,0,0,0,130,233
Surimi,125,4.9,8.3,1.6,72.5,130,233
Taboule,110,5.5,2.3,0.4,78,130,233
The,0,0,0,0,99.9,89,880
Thon,149,6.2,23.4,0.1,69,130,233
Thym,52,1.2,1.5,0,85,130,233
Tofu,53,2.9,5,0,88.6,500,57
Tomate,21,0.3,0.8,0,93.8,40,21
Truite,127,7,16,0.1,75.3,130,233
Veau,98,1.1,22,0.1,75.2,130,233
Viande ,146,6.7,21.4,0.1,71.9,130,233
Viande de boeuf ,134,5.4,21.4,0.1,73.2,5743,1500
Viande de porc,160,8.3,21.4,0.2,70.3,1210,1534
Viande de veau ,128,4.8,21.1,0.2,74.1,1300,1500
Viande de volaille,134,5.3,21.6,0.1,73.1,790,450
Vin blanc,71,0,0.2,0,89,180,8.6
Vin rouge,69,0,0.2,0,89.6,180,8.6
Vinaigre,22,0,0.1,0,93.4,180,8.6
Vinaigre balsamique,128,0.6,0.7,0.1,70.3,180,8.6
Vinaigrette,255,25.1,4.7,0.3,67.4,180,8.6
Yogourt,66,3.6,3.9,0.1,85.6,5925,89
Zampone,361,31.6,19.1,3.4,45.5,700,230
Abricots,44,0.1,0.8,0,87.1,16.3,86.35
moutons,134,5.8,20.5,0.1,73.7,3930,70
Agneaux,134,5.8,20.5,0.1,73.7,3930,72.12
Agrumes,41,0.3,0.8,0,88.9,38,28.9
Ails,137,0.5,7,0,63.7,89,64.3
Airelles rouges,36,0.5,0.3,0,88.4,153,64
Algues,255,1.6,31.5,5,6.5,153,91.32
Noris,255,1.6,31.5,5,6.5,50,91.32
Amandes,624,52.1,25.6,0,3.3,151,870
Amarantes,119,2.1,5,0,71.2,14,91.69
Amidons de ble ,348,0.1,0.4,0,12.3,11,11.12
Ananas,52,0.1,0.5,0,86.4,1100,86
Anchois ,182,8.5,26.4,12,55.1,202,73.37
Artichauts,27,0.5,1.8,0.8,90.5,53,9
Asperges,27,0.2,2.2,0,92,200,21
dAubergine,23,0.2,1,0,92.7,100,92.41
dAubergines,23,0.2,1,0,92.7,100,92.41
Aubergines,23,0.2,1,0,92.7,100,92.41
Avocats,144,14.2,1.8,0,76.4,150,73.23
flocon d'avoine ,381,7.5,13.5,0.1,8.7,267,197.7
Baguettes,255,0.9,9,1.6,36.8,952,11.12
Baies ,40,0.5,0.7,0,88.7,153,25
Bami Goreng,130,2.4,13.5,1,70.1,952,11.12
Bananes,89,0.1,1.1,0,75.8,86,7.9
Barres de cereales,415,12.7,7.9,0.4,8.4,54,11.12
Basilics,46,0.8,3.1,0,86.4,28,92.06
Batonnets de poisson,230,11.7,15.5,0.6,56.9,3114,73.37
Batonnet aux noisettes,567,36.6,10.5,0.1,3.3,251,52
Bettes,23,0.2,2.1,0.4,92.4,11,11.2
Betteraves,46,0.1,1.5,0.1,86.2,28,92.66
Beurres,391,39.8,4.8,0.3,51.9,2380,17.94
Bieres,39,0,0.2,0,91.1,600,92.3
Biscottes,421,7.8,11.6,1.3,4,600,92.3
Biscuit,473,27.7,6.7,0.1,13.5,510,5.5
Blanc battu,47,0,7.8,0.1,86.5,480,5.8
Blanc d'oeuf,45,0,10.8,0.5,87.5,480,5.8
Bles,327,1.8,11.4,0,12.6,11,11.12
Boeufs,154,7.5,21.6,0.2,69.7,2700,59.39
Bonbons,385,0.3,0.5,0.1,4.1,371,4
Boudins,149,10.8,10.2,2,76.2,1210,47.3
Cabillauds,76,0.4,18.1,0.1,81.1,741,70
Cacahuetes,623,49.1,26.1,0,2.2,258,6.5
Cacaos,419,24.5,22.5,0,5.1,466,30
Cafes,2,0,0.1,0,99.6,285,3.1
Calamars,83,1.1,16,0.4,79.4,960,51.8
Camemberts,297,23.7,20.8,2.2,52.1,960,51.8
Cannelles,317,3.2,3.9,0.1,9,130,21
Caramels,448,17.2,2.1,0.8,7.8,371,23
Carottes,38,0.3,0.8,0.1,89.2,31,19.5
Carrelets,86,1.9,17.1,0.3,79.7,745,73.37
Cassis,71,0.9,1.3,0,80.5,153,160
Celeris,15,0.1,0.9,0.3,94.4,85,14
Cerfs,112,3.3,20.6,0.2,74.9,185,1400
Cerises,62,0.4,0.8,0,85.7,153,16
Champignon,29,0.4,3.5,0,91.7,4517,23
Champignons,29,0.4,3.5,0,91.7,4517,23
Chanterelles,24,0.5,2.3,0,91.5,230,23
Chapelures,373,2.1,12.7,1,6.8,230,54
Charcuteries,276,24.2,13.9,2,61.2,230,900
Chataignes,210,1.9,2.9,0,44.9,230,230
Chevaux,102,1.9,21.4,0.1,74.8,230,749
Chevres,149,7.9,19.5,0.1,71.6,230,831
Chevreuils,122,3.6,22.4,0.2,72.9,230,754
Chicorees,19,0.1,1.4,0,94,230,230
Chilis,115,3.6,10.4,0.4,74.3,230,387
Chocolat en poudres,398,7.8,5.3,0,1.7,466,1700
Chocolats,537,31.8,5.7,0,0.7,466,1700
Choux blanc,30,0.2,1.4,0,90.4,28,28
Choux rouge,30,0.3,1.4,0,90.6,28,28
Choux-fleurs,26,0.3,2.4,0,91.9,28,28
Ciboulettes,30,0.6,3,0,91.3,23,323
Cidres,32,0,0,0,93.2,230,548
Citrons,23,0.5,0.8,0,90,38,87
Compotes ,55,0.3,0.3,0,85,75,223
Concentres de tomates,77,0.2,4.5,0.6,76.7,40,21
Concombres,14,0.1,0.7,0,96,143,98
Confitures,246,0.5,0.5,0,36,15,97
Cornflakes,363,0.6,7.7,1.7,5.1,12,139
Cornichons,14,0.1,0.7,1.8,93,27,79
Cotechinos,450,42.3,17.2,4.4,36.8,32,23
Cotelettes,177,10.2,21.3,0.1,68.5,654,954
